Series Name,Series Code,Country Name,Country Code,1990,2000,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Afghanistan,AFG,..,39.9399610071484,92.5668386097134,94.8324703031589,92.7485016686198,94.9778567679371,96.9451792533578,103.267439582288,110.457895899583,113.593791422896,124.278695318734,127.95939969937
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Albania,ALB,2.58398934443231,69.5530265332017,105.287060398773,105.880870312261,105.211011366062,106.737340734897,109.903729197689,111.003415842992,111.048999392741,114.873969805373,126.202351522151,133.857848604236
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Algeria,DZA,14.9764764794182,92.5802803065482,261.280722213879,248.251319397835,250.378059217594,262.741746045996,278.938929619833,281.401940363062,268.144014604853,310.866326774061,382.214073786173,385.48139653951
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,American Samoa,ASM,..,..,101.259842519685,102.748091603053,104.192546583851,102.170283806344,103.90243902439,105.718954248366,112.83255086072,118.296529968454,135.038759689922,..
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Andorra,AND,43.2982839562958,77.8792564996033,100.737113802681,101.402572054216,101.755245516619,102.911703389108,103.953662239379,105.382768858012,106.556507462058,109.283140047975,113.913086675585,121.084599898998
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Angola,AGO,6.76544712697346E-08,16.3176590936026,890.354809013781,859.02869588617,1046.0756278831,1282.64054748492,1643.92310662772,1959.34269601225,2170.22881322863,3012.79241091361,3425.86414711837,4029.48557284815
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Antigua and Barbuda,ATG,56.9187001536951,74.3634050413794,96.038592508513,98.716312092808,98.2541210267635,98.5607274322443,100,100.718452311458,101.524269981556,106.512929537286,113.435051657703,118.886145582916
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Argentina,ARG,21.3737192502697,59.214529394292,652.007262571679,825.310738210731,1164.67339673925,1467.56277769074,2084.4332574088,3109.88226850322,4356.4191087013,6700.26354104376,11382.1453376826,26790.027581342
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Armenia,ARM,0.00192948040175913,58.3379783235321,105.753753195239,107.037508479879,107.324984550164,109.633160635444,112.68941468526,113.890258600166,115.94779169987,123.948784902119,133.847184301684,137.42492428816
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Aruba,ABW,50.8675976148706,76.0554028642542,103.958897410193,111.060627987948,109.946912346958,106.452616082952,110.138037089452,116.765941637385,115.654945180086,109.973251540577,113.445414349983,121.056990382611
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Australia,AUS,41.1113075066436,48.5575418822483,77.338382412107,76.8559003624732,76.3462246030873,79.1352929841212,80.6143433133086,83.4102120722393,84.9829126135317,87.6003437115981,93.886135821569,100
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Austria,AUT,63.5253703550268,76.2643405123135,97.7587487841363,100,101.814750797392,102.807768092574,104.669082412327,106.21157473831,108.965781866192,111.064603509855,116.345479229881,124.079723454602
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Azerbaijan,AZE,0.00255493308937798,69.8193639087621,198.248084371587,180.703738380863,207.215507107444,240.727228422171,270.059545007326,269.407869916397,249.48255592103,303.342906315825,416.400509728352,378.064016131239
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,"Bahamas, The",BHS,35.7628784083296,74.3128576949265,91.796984462243,96.6704240796892,98.2214911308714,99.5458217307584,99.9999207343801,104.593324965567,101.837496880919,100.74596445459,105.079094888269,111.745754152327
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Bahrain,BHR,51.8692102217109,56.9827498027634,111.630061337122,101.854981446854,102.218856104903,106.937109038469,111.442063094942,111.625722066045,105.119227879829,114.799029630654,123.809943688221,118.679567093637
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Bangladesh,BGD,19.8066330770164,32.3828876197451,73.877545303475,78.216208822529,100,105.047597582037,111.146176583513,115.212056606306,119.63742472873,124.567892016512,130.857352138425,139.882746030917
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Barbados,BRB,45.3423672011811,60.9187825447195,101.597421913517,100.976493900885,100,103.367271971129,106.729449794009,109.020341160751,114.595556363426,117.264737550552,118.044521056785,121.800850947101
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Belarus,BLR,6.99905118914914E-07,1.66503327888748,65.3100296343187,75.7747390985589,82.0956314923295,89.174690153294,100.00024525894,108.576908509215,121.47334533022,140.090859985965,160.9431916829,172.80185707763
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Belgium,BEL,63.9461981742512,77.3395301071591,98.8906071252847,100,101.895289226446,103.916039303492,105.700571020087,107.660514074734,109.378901480354,112.378766165302,120.069946166719,125.482822830393
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Belize,BLZ,72.4653996424078,83.274229517786,100,99.6954199340834,101.783320838729,104.870317669651,104.951831765863,104.828161348374,104.144681501874,104.801593315004,112.402274342573,119.719327009408
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Benin,BEN,22.8030545081928,67.9890289655435,99.1556851160345,100,100.683591111275,100.313178470008,100.985725781806,100.584253198484,103.479100482781,105.154142621048,109.50624124514,113.213536005662
